date,well_id,field,formation,oil_bbl,gas_mcf,water_bbl,flowing_hours,tubing_head_pressure_psi,downtime_hours,liquid_bbl,water_cut_pct,gor_scf_bbl
2024-01-17,EXM-PB-101,Permian North,Wolfcamp A,784.32,721.58,154.73,24.0,2861.9,0.0,939.0500000000001,16.48,920.01
2024-01-18,EXM-PB-101,Permian North,Wolfcamp A,775.42,763.62,170.36,24.0,2841.8,0.0,945.78,18.01,984.78
2024-01-19,EXM-PB-101,Permian North,Wolfcamp A,834.98,783.41,196.79,24.0,2856.0,0.0,1031.77,19.07,938.24
2024-01-20,EXM-PB-101,Permian North,Wolfcamp A,784.53,754.13,156.83,24.0,2836.1,0.0,941.36,16.66,961.25
2024-01-21,EXM-PB-101,Permian North,Wolfcamp A,720.37,673.53,173.59,24.0,2810.0,0.0,893.96,19.42,934.98
2024-01-22,EXM-PB-101,Permian North,Wolfcamp A,788.43,805.52,191.61,24.0,2829.5,0.0,980.04,19.55,1021.68
2024-01-23,EXM-PB-101,Permian North,Wolfcamp A,791.12,719.32,156.1,24.0,2775.6,0.0,947.22,16.48,909.24
2024-01-24,EXM-PB-101,Permian North,Wolfcamp A,792.04,746.65,232.99,24.0,2832.5,0.0,1025.03,22.73,942.69
2024-01-25,EXM-PB-101,Permian North,Wolfcamp A,798.49,781.85,188.14,24.0,2765.9,0.0,986.63,19.07,979.16
2024-01-26,EXM-PB-101,Permian North,Wolfcamp A,809.66,812.34,174.86,24.0,2753.2,0.0,984.52,17.76,1003.31
2024-01-27,EXM-PB-101,Permian North,Wolfcamp A,762.34,709.93,182.15,24.0,2856.4,0.0,944.49,19.29,931.25
2024-01-28,EXM-PB-101,Permian North,Wolfcamp A,788.07,702.23,178.41,24.0,2816.6,0.0,966.48,18.46,891.08
2024-01-29,EXM-PB-101,Permian North,Wolfcamp A,798.79,777.69,174.02,24.0,2805.0,0.0,972.81,17.89,973.59
2024-01-30,EXM-PB-101,Permian North,Wolfcamp A,761.36,746.83,176.53,24.0,2755.5,0.0,937.89,18.82,980.92
2024-01-31,EXM-PB-101,Permian North,Wolfcamp A,818.88,767.84,246.8,24.0,2800.2,0.0,1065.68,23.16,937.67
2024-02-01,EXM-PB-101,Permian North,Wolfcamp A,787.42,711.04,203.89,24.0,2748.7,0.0,991.31,20.57,903.0
2024-02-02,EXM-PB-101,Permian North,Wolfcamp A,795.91,762.96,214.97,24.0,2844.9,0.0,1010.88,21.27,958.6
2024-02-03,EXM-PB-101,Permian North,Wolfcamp A,785.81,802.23,177.35,24.0,2826.8,0.0,963.16,18.41,1020.9
2024-02-04,EXM-PB-101,Permian North,Wolfcamp A,796.55,733.98,176.02,24.0,2753.2,0.0,972.5699999999999,18.1,921.45
2024-02-05,EXM-PB-101,Permian North,Wolfcamp A,801.49,786.45,202.81,24.0,2888.1,0.0,1004.3,20.19,981.23
2024-02-06,EXM-PB-101,Permian North,Wolfcamp A,736.99,724.75,166.87,24.0,2790.6,0.0,903.86,18.46,983.39
2024-02-07,EXM-PB-101,Permian North,Wolfcamp A,773.22,726.78,216.12,24.0,2922.5,0.0,989.34,21.84,939.94
2024-02-08,EXM-PB-101,Permian North,Wolfcamp A,745.62,709.53,200.31,24.0,2792.5,0.0,945.9300000000001,21.18,951.6
2024-02-09,EXM-PB-101,Permian North,Wolfcamp A,764.37,739.9,201.06,24.0,2794.1,0.0,965.4300000000001,20.83,967.99
2024-02-10,EXM-PB-101,Permian North,Wolfcamp A,567.74,561.91,150.6,18.0,2780.6,6.0,718.34,20.97,989.73
2024-02-11,EXM-PB-101,Permian North,Wolfcamp A,773.69,740.1,169.56,24.0,2812.0,0.0,943.25,17.98,956.58
2024-02-12,EXM-PB-101,Permian North,Wolfcamp A,772.9,765.32,177.5,24.0,2795.6,0.0,950.4,18.68,990.19
2024-02-13,EXM-PB-101,Permian North,Wolfcamp A,794.5,713.18,217.8,24.0,2749.7,0.0,1012.3,21.52,897.65
2024-02-14,EXM-PB-101,Permian North,Wolfcamp A,772.4,734.48,197.54,24.0,2829.8,0.0,969.9399999999999,20.37,950.91
2024-02-15,EXM-PB-101,Permian North,Wolfcamp A,778.28,767.58,216.05,24.0,2818.6,0.0,994.3299999999999,21.73,986.25
2024-02-16,EXM-PB-101,Permian North,Wolfcamp A,731.08,699.11,158.52,24.0,2749.4,0.0,889.6,17.82,956.27
2024-02-17,EXM-PB-101,Permian North,Wolfcamp A,822.22,802.55,172.17,24.0,2714.0,0.0,994.39,17.31,976.08
2024-02-18,EXM-PB-101,Permian North,Wolfcamp A,735.64,742.48,179.99,24.0,2791.0,0.0,915.63,19.66,1009.3
2024-02-19,EXM-PB-101,Permian North,Wolfcamp A,738.79,703.13,190.85,24.0,2754.5,0.0,929.64,20.53,951.73
2024-02-20,EXM-PB-101,Permian North,Wolfcamp A,793.08,753.88,217.12,24.0,2802.4,0.0,1010.2,21.49,950.57
2024-02-21,EXM-PB-101,Permian North,Wolfcamp A,738.24,679.1,203.08,24.0,2776.0,0.0,941.32,21.57,919.89
2024-02-22,EXM-PB-101,Permian North,Wolfcamp A,734.15,688.12,217.22,24.0,2765.5,0.0,951.37,22.83,937.3
2024-02-23,EXM-PB-101,Permian North,Wolfcamp A,799.88,721.56,212.53,24.0,2819.8,0.0,1012.41,20.99,902.09
2024-02-24,EXM-PB-101,Permian North,Wolfcamp A,685.85,616.98,203.79,21.6,2860.1,2.4,889.64,22.91,899.58
2024-02-25,EXM-PB-101,Permian North,Wolfcamp A,784.22,758.24,188.92,24.0,2810.6,0.0,973.14,19.41,966.87
2024-02-26,EXM-PB-101,Permian North,Wolfcamp A,749.21,674.89,177.13,24.0,2769.7,0.0,926.34,19.12,900.8
2024-02-27,EXM-PB-101,Permian North,Wolfcamp A,791.29,738.5,178.66,24.0,2778.9,0.0,969.9499999999999,18.42,933.29
2024-02-28,EXM-PB-101,Permian North,Wolfcamp A,748.86,722.94,238.2,24.0,2812.6,0.0,987.06,24.13,965.39
2024-02-29,EXM-PB-101,Permian North,Wolfcamp A,751.33,715.76,184.96,24.0,2753.0,0.0,936.2900000000001,19.75,952.66
2024-03-01,EXM-PB-101,Permian North,Wolfcamp A,625.92,580.0,182.98,21.6,2864.0,2.4,808.9,22.62,926.64
2024-03-02,EXM-PB-101,Permian North,Wolfcamp A,739.8,710.71,204.15,24.0,2739.6,0.0,943.9499999999999,21.63,960.68
2024-03-03,EXM-PB-101,Permian North,Wolfcamp A,765.56,709.18,192.51,24.0,2750.3,0.0,958.0699999999999,20.09,926.35
2024-03-04,EXM-PB-101,Permian North,Wolfcamp A,764.72,750.1,206.92,24.0,2793.3,0.0,971.64,21.3,980.88
2024-03-05,EXM-PB-101,Permian North,Wolfcamp A,754.48,665.5,186.44,24.0,2708.7,0.0,940.9200000000001,19.81,882.06
2024-03-06,EXM-PB-101,Permian North,Wolfcamp A,753.16,709.27,195.66,24.0,2811.7,0.0,948.8199999999999,20.62,941.73
2024-03-07,EXM-PB-101,Permian North,Wolfcamp A,727.29,691.26,197.57,24.0,2802.8,0.0,924.8599999999999,21.36,950.46
2024-03-08,EXM-PB-101,Permian North,Wolfcamp A,754.23,725.81,195.08,24.0,2753.7,0.0,949.3100000000001,20.55,962.32
2024-03-09,EXM-PB-101,Permian North,Wolfcamp A,706.22,622.82,206.89,21.6,2738.1,2.4,913.11,22.66,881.91
2024-03-10,EXM-PB-101,Permian North,Wolfcamp A,764.05,743.97,219.19,24.0,2785.1,0.0,983.24,22.29,973.72
2024-03-11,EXM-PB-101,Permian North,Wolfcamp A,715.18,622.62,191.68,24.0,2835.2,0.0,906.8599999999999,21.14,870.58
2024-03-12,EXM-PB-101,Permian North,Wolfcamp A,710.8,686.41,185.69,24.0,2728.8,0.0,896.49,20.71,965.69
2024-03-13,EXM-PB-101,Permian North,Wolfcamp A,719.69,699.0,197.65,24.0,2792.1,0.0,917.34,21.55,971.25
2024-03-14,EXM-PB-101,Permian North,Wolfcamp A,692.63,639.09,164.31,24.0,2741.8,0.0,856.94,19.17,922.7
2024-03-15,EXM-PB-101,Permian North,Wolfcamp A,676.5,634.91,209.96,24.0,2749.9,0.0,886.46,23.69,938.52
2024-03-16,EXM-PB-101,Permian North,Wolfcamp A,735.49,713.23,185.42,24.0,2817.7,0.0,920.91,20.13,969.73
2024-03-17,EXM-PB-101,Permian North,Wolfcamp A,517.03,484.44,130.5,18.0,2768.0,6.0,647.53,20.15,936.97
2024-03-18,EXM-PB-101,Permian North,Wolfcamp A,547.98,522.61,149.94,18.0,2711.3,6.0,697.9200000000001,21.48,953.7
2024-03-19,EXM-PB-101,Permian North,Wolfcamp A,586.08,547.16,166.46,18.0,2828.4,6.0,752.5400000000001,22.12,933.59
2024-03-20,EXM-PB-101,Permian North,Wolfcamp A,744.7,769.43,207.97,24.0,2707.0,0.0,952.6700000000001,21.83,1033.21
2024-03-21,EXM-PB-101,Permian North,Wolfcamp A,717.5,709.78,174.55,24.0,2660.5,0.0,892.05,19.57,989.24
2024-03-22,EXM-PB-101,Permian North,Wolfcamp A,728.94,718.82,236.02,24.0,2714.7,0.0,964.96,24.46,986.12
2024-03-23,EXM-PB-101,Permian North,Wolfcamp A,737.85,720.59,231.79,24.0,2733.3,0.0,969.64,23.9,976.61
2024-03-24,EXM-PB-101,Permian North,Wolfcamp A,747.67,661.61,199.12,24.0,2798.9,0.0,946.79,21.03,884.9
2024-03-25,EXM-PB-101,Permian North,Wolfcamp A,542.84,465.12,154.88,18.0,2696.0,6.0,697.72,22.2,856.83
2024-03-26,EXM-PB-101,Permian North,Wolfcamp A,715.86,667.83,200.68,24.0,2763.3,0.0,916.54,21.9,932.91
2024-03-27,EXM-PB-101,Permian North,Wolfcamp A,680.36,673.76,199.49,24.0,2803.3,0.0,879.85,22.67,990.3
2024-03-28,EXM-PB-101,Permian North,Wolfcamp A,721.74,728.2,189.46,24.0,2737.8,0.0,911.2,20.79,1008.95
2024-03-29,EXM-PB-101,Permian North,Wolfcamp A,716.54,708.67,222.44,24.0,2738.7,0.0,938.98,23.69,989.02
2024-03-30,EXM-PB-101,Permian North,Wolfcamp A,727.23,664.2,230.38,24.0,2760.7,0.0,957.61,24.06,913.33
2024-03-31,EXM-PB-101,Permian North,Wolfcamp A,667.01,656.12,213.14,24.0,2722.3,0.0,880.15,24.22,983.67
2024-04-01,EXM-PB-101,Permian North,Wolfcamp A,746.17,755.04,212.99,24.0,2665.0,0.0,959.16,22.21,1011.89
2024-04-02,EXM-PB-101,Permian North,Wolfcamp A,707.39,664.46,215.31,24.0,2650.9,0.0,922.7,23.33,939.31
2024-04-03,EXM-PB-101,Permian North,Wolfcamp A,491.62,442.67,139.08,18.0,2754.6,6.0,630.7,22.05,900.43
2024-04-04,EXM-PB-101,Permian North,Wolfcamp A,678.31,663.65,202.17,24.0,2710.0,0.0,880.4799999999999,22.96,978.39
2024-04-05,EXM-PB-101,Permian North,Wolfcamp A,680.07,632.36,203.49,24.0,2686.1,0.0,883.5600000000001,23.03,929.85
2024-04-06,EXM-PB-101,Permian North,Wolfcamp A,667.95,636.01,188.75,24.0,2617.7,0.0,856.7,22.03,952.18
2024-04-07,EXM-PB-101,Permian North,Wolfcamp A,684.92,647.75,200.97,24.0,2709.1,0.0,885.89,22.69,945.73
2024-04-08,EXM-PB-101,Permian North,Wolfcamp A,682.93,634.58,207.22,24.0,2662.4,0.0,890.15,23.28,929.2
2024-04-09,EXM-PB-101,Permian North,Wolfcamp A,662.76,671.05,215.13,24.0,2705.1,0.0,877.89,24.51,1012.51
2024-04-10,EXM-PB-101,Permian North,Wolfcamp A,719.58,684.38,191.49,24.0,2758.6,0.0,911.07,21.02,951.08
2024-04-11,EXM-PB-101,Permian North,Wolfcamp A,694.52,617.39,185.86,24.0,2722.8,0.0,880.38,21.11,888.94
2024-04-12,EXM-PB-101,Permian North,Wolfcamp A,691.97,629.46,201.11,24.0,2682.9,0.0,893.08,22.52,909.66
2024-04-13,EXM-PB-101,Permian North,Wolfcamp A,736.48,699.43,232.03,24.0,2777.5,0.0,968.51,23.96,949.69
2024-04-14,EXM-PB-101,Permian North,Wolfcamp A,752.0,701.81,240.11,24.0,2780.8,0.0,992.11,24.2,933.26
2024-04-15,EXM-PB-101,Permian North,Wolfcamp A,671.95,662.0,174.88,24.0,2794.2,0.0,846.83,20.65,985.19
2024-04-16,EXM-PB-101,Permian North,Wolfcamp A,692.75,648.6,206.47,24.0,2696.2,0.0,899.22,22.96,936.27
2024-04-17,EXM-PB-101,Permian North,Wolfcamp A,675.24,626.28,191.39,24.0,2666.7,0.0,866.63,22.08,927.49
2024-04-18,EXM-PB-101,Permian North,Wolfcamp A,629.44,607.3,197.54,24.0,2700.4,0.0,826.98,23.89,964.83
2024-04-19,EXM-PB-101,Permian North,Wolfcamp A,674.86,653.97,213.56,24.0,2658.9,0.0,888.4200000000001,24.04,969.05
2024-04-20,EXM-PB-101,Permian North,Wolfcamp A,736.85,726.13,250.61,24.0,2667.2,0.0,987.46,25.38,985.45
2024-04-21,EXM-PB-101,Permian North,Wolfcamp A,668.23,593.49,170.07,24.0,2702.3,0.0,838.3,20.29,888.15
2024-04-22,EXM-PB-101,Permian North,Wolfcamp A,648.9,588.37,207.58,24.0,2710.8,0.0,856.48,24.24,906.72
2024-04-23,EXM-PB-101,Permian North,Wolfcamp A,668.76,613.46,201.52,24.0,2680.1,0.0,870.28,23.16,917.31
2024-04-24,EXM-PB-101,Permian North,Wolfcamp A,668.88,663.56,214.37,24.0,2730.8,0.0,883.25,24.27,992.05
2024-04-25,EXM-PB-101,Permian North,Wolfcamp A,623.17,605.68,175.56,24.0,2685.6,0.0,798.73,21.98,971.93
2024-04-26,EXM-PB-101,Permian North,Wolfcamp A,685.14,663.59,208.76,24.0,2764.5,0.0,893.9,23.35,968.55
2024-04-27,EXM-PB-101,Permian North,Wolfcamp A,688.04,640.89,201.44,24.0,2672.6,0.0,889.48,22.65,931.47
2024-04-28,EXM-PB-101,Permian North,Wolfcamp A,691.84,599.19,228.92,24.0,2706.9,0.0,920.76,24.86,866.08
2024-04-29,EXM-PB-101,Permian North,Wolfcamp A,706.33,616.31,207.93,24.0,2644.0,0.0,914.26,22.74,872.55
2024-04-30,EXM-PB-101,Permian North,Wolfcamp A,701.66,624.44,199.46,24.0,2688.7,0.0,901.12,22.13,889.95
2024-05-01,EXM-PB-101,Permian North,Wolfcamp A,695.28,666.74,175.22,24.0,2721.3,0.0,870.5,20.13,958.95
2024-05-02,EXM-PB-101,Permian North,Wolfcamp A,678.49,622.01,218.31,24.0,2667.3,0.0,896.8,24.34,916.76
2024-05-03,EXM-PB-101,Permian North,Wolfcamp A,688.43,658.76,253.86,24.0,2695.1,0.0,942.29,26.94,956.9
2024-05-04,EXM-PB-101,Permian North,Wolfcamp A,646.75,651.52,186.2,24.0,2700.7,0.0,832.95,22.35,1007.38
2024-05-05,EXM-PB-101,Permian North,Wolfcamp A,695.74,653.82,206.18,24.0,2637.2,0.0,901.9200000000001,22.86,939.75
2024-05-06,EXM-PB-101,Permian North,Wolfcamp A,660.26,651.43,195.45,24.0,2723.7,0.0,855.71,22.84,986.63
2024-05-07,EXM-PB-101,Permian North,Wolfcamp A,678.9,624.99,245.15,24.0,2622.5,0.0,924.05,26.53,920.59
2024-05-08,EXM-PB-101,Permian North,Wolfcamp A,672.13,615.77,224.2,24.0,2572.6,0.0,896.3299999999999,25.01,916.15
2024-05-09,EXM-PB-101,Permian North,Wolfcamp A,606.25,632.28,172.16,21.6,2681.7,2.4,778.41,22.12,1042.94
2024-05-10,EXM-PB-101,Permian North,Wolfcamp A,707.55,678.01,232.53,24.0,2694.4,0.0,940.0799999999999,24.74,958.25
2024-05-11,EXM-PB-101,Permian North,Wolfcamp A,708.75,716.22,247.9,24.0,2650.1,0.0,956.65,25.91,1010.54
2024-05-12,EXM-PB-101,Permian North,Wolfcamp A,595.61,623.28,199.72,21.6,2695.4,2.4,795.33,25.11,1046.46
2024-05-13,EXM-PB-101,Permian North,Wolfcamp A,659.16,600.85,200.74,24.0,2596.0,0.0,859.9,23.34,911.54
2024-05-14,EXM-PB-101,Permian North,Wolfcamp A,656.44,655.3,218.49,24.0,2632.3,0.0,874.9300000000001,24.97,998.26
2024-05-15,EXM-PB-101,Permian North,Wolfcamp A,654.7,615.85,182.73,24.0,2655.5,0.0,837.4300000000001,21.82,940.66
2024-05-16,EXM-PB-101,Permian North,Wolfcamp A,678.22,672.15,212.82,24.0,2583.4,0.0,891.04,23.88,991.05
2024-05-17,EXM-PB-101,Permian North,Wolfcamp A,652.39,683.57,189.46,24.0,2667.7,0.0,841.85,22.51,1047.79
2024-05-18,EXM-PB-101,Permian North,Wolfcamp A,639.53,604.76,215.7,24.0,2670.7,0.0,855.23,25.22,945.63
2024-05-19,EXM-PB-101,Permian North,Wolfcamp A,655.74,605.19,200.76,24.0,2667.1,0.0,856.5,23.44,922.91
2024-05-20,EXM-PB-101,Permian North,Wolfcamp A,687.29,598.65,175.18,24.0,2605.2,0.0,862.47,20.31,871.03
2024-05-21,EXM-PB-101,Permian North,Wolfcamp A,646.54,579.63,201.8,24.0,2624.6,0.0,848.3399999999999,23.79,896.51
2024-05-22,EXM-PB-101,Permian North,Wolfcamp A,645.07,624.71,206.91,24.0,2623.5,0.0,851.98,24.29,968.44
2024-05-23,EXM-PB-101,Permian North,Wolfcamp A,668.78,622.01,196.86,24.0,2679.0,0.0,865.64,22.74,930.07
2024-05-24,EXM-PB-101,Permian North,Wolfcamp A,643.26,630.99,204.66,24.0,2613.3,0.0,847.92,24.14,980.93
2024-05-25,EXM-PB-101,Permian North,Wolfcamp A,642.0,583.53,228.67,24.0,2682.0,0.0,870.67,26.26,908.93
2024-05-26,EXM-PB-101,Permian North,Wolfcamp A,611.24,551.84,228.57,24.0,2616.2,0.0,839.81,27.22,902.82
2024-05-27,EXM-PB-101,Permian North,Wolfcamp A,612.83,552.37,210.02,24.0,2730.5,0.0,822.85,25.52,901.34
2024-05-28,EXM-PB-101,Permian North,Wolfcamp A,607.39,599.45,190.16,24.0,2648.8,0.0,797.55,23.84,986.93
2024-05-29,EXM-PB-101,Permian North,Wolfcamp A,637.85,613.41,208.32,24.0,2571.9,0.0,846.1700000000001,24.62,961.68
2024-05-30,EXM-PB-101,Permian North,Wolfcamp A,630.97,568.53,200.6,24.0,2652.0,0.0,831.57,24.12,901.04
2024-05-31,EXM-PB-101,Permian North,Wolfcamp A,648.42,626.06,197.28,24.0,2569.5,0.0,845.6999999999999,23.33,965.52
2024-06-01,EXM-PB-101,Permian North,Wolfcamp A,632.42,639.74,217.95,24.0,2715.5,0.0,850.3699999999999,25.63,1011.57
2024-06-02,EXM-PB-101,Permian North,Wolfcamp A,600.59,556.3,179.05,24.0,2644.6,0.0,779.6400000000001,22.97,926.26
2024-06-03,EXM-PB-101,Permian North,Wolfcamp A,633.11,566.95,213.61,24.0,2668.2,0.0,846.72,25.23,895.5
2024-06-04,EXM-PB-101,Permian North,Wolfcamp A,619.22,565.29,184.41,24.0,2688.2,0.0,803.63,22.95,912.91
2024-06-05,EXM-PB-101,Permian North,Wolfcamp A,685.41,653.62,223.18,24.0,2647.5,0.0,908.5899999999999,24.56,953.62
2024-06-06,EXM-PB-101,Permian North,Wolfcamp A,625.0,654.55,211.1,24.0,2633.7,0.0,836.1,25.25,1047.28
2024-06-07,EXM-PB-101,Permian North,Wolfcamp A,628.98,601.83,214.99,24.0,2621.6,0.0,843.97,25.47,956.83
2024-06-08,EXM-PB-101,Permian North,Wolfcamp A,621.86,607.49,240.32,24.0,2610.0,0.0,862.1800000000001,27.87,976.89
2024-06-09,EXM-PB-101,Permian North,Wolfcamp A,610.63,539.19,221.22,24.0,2685.5,0.0,831.85,26.59,883.01
2024-06-10,EXM-PB-101,Permian North,Wolfcamp A,632.13,604.79,224.14,24.0,2572.6,0.0,856.27,26.18,956.75
2024-06-11,EXM-PB-101,Permian North,Wolfcamp A,650.86,650.13,231.28,24.0,2679.1,0.0,882.14,26.22,998.88
2024-06-12,EXM-PB-101,Permian North,Wolfcamp A,630.21,608.98,186.58,24.0,2639.3,0.0,816.7900000000001,22.84,966.31
2024-06-13,EXM-PB-101,Permian North,Wolfcamp A,648.82,627.39,223.02,24.0,2619.0,0.0,871.84,25.58,966.97
2024-06-14,EXM-PB-101,Permian North,Wolfcamp A,471.65,448.57,169.59,18.0,2628.6,6.0,641.24,26.45,951.07
2024-06-15,EXM-PB-101,Permian North,Wolfcamp A,597.81,544.24,212.47,24.0,2683.4,0.0,810.28,26.22,910.39
2024-06-16,EXM-PB-101,Permian North,Wolfcamp A,623.62,626.73,206.27,24.0,2633.4,0.0,829.89,24.86,1004.99
2024-06-17,EXM-PB-101,Permian North,Wolfcamp A,645.76,580.36,226.71,24.0,2649.5,0.0,872.47,25.98,898.72
2024-06-18,EXM-PB-101,Permian North,Wolfcamp A,627.52,583.81,234.5,24.0,2685.3,0.0,862.02,27.2,930.34
2024-06-19,EXM-PB-101,Permian North,Wolfcamp A,644.83,571.38,227.99,24.0,2541.4,0.0,872.82,26.12,886.09
2024-06-20,EXM-PB-101,Permian North,Wolfcamp A,614.55,552.42,207.84,24.0,2577.8,0.0,822.39,25.27,898.9
2024-06-21,EXM-PB-101,Permian North,Wolfcamp A,580.58,527.93,182.63,24.0,2648.5,0.0,763.21,23.93,909.31
2024-06-22,EXM-PB-101,Permian North,Wolfcamp A,578.83,548.8,197.75,21.6,2646.8,2.4,776.58,25.46,948.12
2024-06-23,EXM-PB-101,Permian North,Wolfcamp A,646.09,575.24,254.53,24.0,2618.4,0.0,900.62,28.26,890.34
2024-06-24,EXM-PB-101,Permian North,Wolfcamp A,606.23,561.23,202.53,24.0,2667.3,0.0,808.76,25.04,925.77
2024-06-25,EXM-PB-101,Permian North,Wolfcamp A,610.67,598.6,194.53,24.0,2659.6,0.0,805.1999999999999,24.16,980.23
2024-06-26,EXM-PB-101,Permian North,Wolfcamp A,605.82,580.2,223.1,24.0,2542.8,0.0,828.9200000000001,26.91,957.71
2024-06-27,EXM-PB-101,Permian North,Wolfcamp A,598.64,560.46,213.15,24.0,2636.0,0.0,811.79,26.26,936.22
2024-06-28,EXM-PB-101,Permian North,Wolfcamp A,621.95,606.42,224.89,24.0,2698.8,0.0,846.84,26.56,975.03
2024-06-29,EXM-PB-101,Permian North,Wolfcamp A,577.18,567.71,184.41,24.0,2564.2,0.0,761.5899999999999,24.21,983.59
2024-06-30,EXM-PB-101,Permian North,Wolfcamp A,602.7,572.19,217.09,24.0,2659.1,0.0,819.7900000000001,26.48,949.38
2024-07-01,EXM-PB-101,Permian North,Wolfcamp A,638.7,638.9,232.71,24.0,2553.4,0.0,871.4100000000001,26.7,1000.31
2024-07-02,EXM-PB-101,Permian North,Wolfcamp A,624.37,607.16,215.92,24.0,2652.8,0.0,840.29,25.7,972.44
2024-07-03,EXM-PB-101,Permian North,Wolfcamp A,619.55,600.41,233.27,24.0,2640.2,0.0,852.8199999999999,27.35,969.11
2024-07-04,EXM-PB-101,Permian North,Wolfcamp A,639.41,603.38,240.09,24.0,2606.9,0.0,879.5,27.3,943.65
2024-07-05,EXM-PB-101,Permian North,Wolfcamp A,594.23,573.97,221.04,24.0,2616.9,0.0,815.27,27.11,965.91
2024-07-06,EXM-PB-101,Permian North,Wolfcamp A,612.02,549.8,220.49,24.0,2631.1,0.0,832.51,26.48,898.34
2024-07-07,EXM-PB-101,Permian North,Wolfcamp A,638.75,613.28,233.63,24.0,2578.1,0.0,872.38,26.78,960.13
2024-07-08,EXM-PB-101,Permian North,Wolfcamp A,603.99,587.75,222.53,24.0,2603.2,0.0,826.52,26.92,973.11
2024-07-09,EXM-PB-101,Permian North,Wolfcamp A,608.76,574.01,227.02,24.0,2575.3,0.0,835.78,27.16,942.92
2024-07-10,EXM-PB-101,Permian North,Wolfcamp A,606.89,604.11,208.22,24.0,2523.6,0.0,815.11,25.55,995.42
2024-07-11,EXM-PB-101,Permian North,Wolfcamp A,610.86,577.28,212.97,24.0,2499.2,0.0,823.83,25.85,945.03
2024-07-12,EXM-PB-101,Permian North,Wolfcamp A,590.45,528.44,247.15,24.0,2490.5,0.0,837.6,29.51,894.98
2024-07-13,EXM-PB-101,Permian North,Wolfcamp A,614.83,610.3,241.61,24.0,2647.1,0.0,856.44,28.21,992.63
2024-07-14,EXM-PB-101,Permian North,Wolfcamp A,613.88,626.27,222.77,24.0,2538.6,0.0,836.65,26.63,1020.18
2024-07-15,EXM-PB-101,Permian North,Wolfcamp A,618.1,570.5,222.97,24.0,2555.3,0.0,841.07,26.51,922.99
2024-07-16,EXM-PB-101,Permian North,Wolfcamp A,572.1,541.71,234.02,24.0,2634.3,0.0,806.12,29.03,946.88
2024-07-17,EXM-PB-101,Permian North,Wolfcamp A,452.24,441.79,163.6,18.0,2615.2,6.0,615.84,26.57,976.89
2024-07-18,EXM-PB-101,Permian North,Wolfcamp A,609.81,583.88,248.46,24.0,2613.3,0.0,858.27,28.95,957.48
2024-07-19,EXM-PB-101,Permian North,Wolfcamp A,573.96,553.44,211.48,24.0,2545.9,0.0,785.44,26.93,964.25
2024-07-20,EXM-PB-101,Permian North,Wolfcamp A,593.65,566.86,196.82,24.0,2548.0,0.0,790.47,24.9,954.87
2024-07-21,EXM-PB-101,Permian North,Wolfcamp A,580.36,545.23,232.28,24.0,2576.2,0.0,812.64,28.58,939.47
